example_id                                               | status  | run_time        |
./spec/routing/users_routing_spec.rb[1:1:8]              | passed  | 0.00078 seconds |
./spec/views/brands/edit.html.erb_spec.rb[1:1]           | failed  | 0.00441 seconds |
./spec/views/brands/index.html.erb_spec.rb[1:1]          | failed  | 0.02333 seconds |
./spec/views/brands/new.html.erb_spec.rb[1:1]            | passed  | 0.03011 seconds |
./spec/views/brands/show.html.erb_spec.rb[1:1]           | failed  | 0.05372 seconds |
./spec/views/locations/edit.html.erb_spec.rb[1:1]        | failed  | 0.01121 seconds |
./spec/views/locations/index.html.erb_spec.rb[1:1]       | failed  | 0.0037 seconds  |
./spec/views/locations/new.html.erb_spec.rb[1:1]         | failed  | 0.03885 seconds |
./spec/views/locations/show.html.erb_spec.rb[1:1]        | failed  | 0.00363 seconds |
./spec/views/users/edit.html.erb_spec.rb[1:1]            | failed  | 0.00501 seconds |
./spec/views/users/index.html.erb_spec.rb[1:1]           | failed  | 0.01594 seconds |
./spec/views/users/new.html.erb_spec.rb[1:1]             | passed  | 0.13122 seconds |
./spec/views/users/show.html.erb_spec.rb[1:1]            | failed  | 0.00492 seconds |
